"customer_id","first_name","last_name","email","address","city","country","rental_id","rental_date","amount"
341,"Peter","Menard","peter.menard@sakilacustomer.org","1217 Konotop Avenue","Ede","Netherlands",1520,"2005-06-15 23:57:20","7.99"
341,"Peter","Menard","peter.menard@sakilacustomer.org","1217 Konotop Avenue","Ede","Netherlands",1849,"2005-06-17 00:13:19","7.99"
341,"Peter","Menard","peter.menard@sakilacustomer.org","1217 Konotop Avenue","Ede","Netherlands",3130,"2005-06-20 19:03:22","7.99"
341,"Peter","Menard","peter.menard@sakilacustomer.org","1217 Konotop Avenue","Ede","Netherlands",3382,"2005-06-21 14:05:23","5.99"
342,"Harold","Martino","harold.martino@sakilacustomer.org","1293 Nam Dinh Way","Boa Vista","Brazil",2190,"2005-06-18 01:29:51","5.99"
342,"Harold","Martino","harold.martino@sakilacustomer.org","1293 Nam Dinh Way","Boa Vista","Brazil",2914,"2005-06-20 03:43:18","5.99"
343,"Douglas","Graf","douglas.graf@sakilacustomer.org","785 Vaduz Street","Mexicali","Mexico",1547,"2005-06-16 01:42:24","4.99"
343,"Douglas","Graf","douglas.graf@sakilacustomer.org","785 Vaduz Street","Mexicali","Mexico",1564,"2005-06-16 02:47:07","6.99"
343,"Douglas","Graf","douglas.graf@sakilacustomer.org","785 Vaduz Street","Mexicali","Mexico",2461,"2005-06-18 19:58:12","6.99"
343,"Douglas","Graf","douglas.graf@sakilacustomer.org","785 Vaduz Street","Mexicali","Mexico",2980,"2005-06-20 08:35:03","8.99"
344,"Henry","Billingsley","henry.billingsley@sakilacustomer.org","1516 Escobar Drive","Nukualofa","Tonga",1341,"2005-06-15 12:26:18","3.99"
344,"Henry","Billingsley","henry.billingsley@sakilacustomer.org","1516 Escobar Drive","Nukualofa","Tonga",1475,"2005-06-15 21:08:01","4.99"
345,"Carl","Artis","carl.artis@sakilacustomer.org","1628 Nagareyama Lane","San Lorenzo","Paraguay",1457,"2005-06-15 20:05:49","4.99"
345,"Carl","Artis","carl.artis@sakilacustomer.org","1628 Nagareyama Lane","San Lorenzo","Paraguay",2766,"2005-06-19 17:45:15","4.99"
346,"Arthur","Simpkins","arthur.simpkins@sakilacustomer.org","1157 Nyeri Loop","Maikop","Russian Federation",1994,"2005-06-17 11:07:06","5.99"
347,"Ryan","Salisbury","ryan.salisbury@sakilacustomer.org","1673 Tangail Drive","Daugavpils","Latvia",1711,"2005-06-16 14:11:52","8.99"
347,"Ryan","Salisbury","ryan.salisbury@sakilacustomer.org","1673 Tangail Drive","Daugavpils","Latvia",3026,"2005-06-20 11:48:00","4.99"
347,"Ryan","Salisbury","ryan.salisbury@sakilacustomer.org","1673 Tangail Drive","Daugavpils","Latvia",3092,"2005-06-20 16:04:42","8.99"
347,"Ryan","Salisbury","ryan.salisbury@sakilacustomer.org","1673 Tangail Drive","Daugavpils","Latvia",3326,"2005-06-21 09:04:50","7.99"
348,"Roger","Quintanilla","roger.quintanilla@sakilacustomer.org","381 Kabul Way","Hsichuh","Taiwan",2041,"2005-06-17 14:19:00","8.99"
349,"Joe","Gilliland","joe.gilliland@sakilacustomer.org","953 Hodeida Street","Imus","Philippines",2987,"2005-06-20 08:55:50","6.99"
349,"Joe","Gilliland","joe.gilliland@sakilacustomer.org","953 Hodeida Street","Imus","Philippines",3067,"2005-06-20 13:59:21","8.99"
350,"Juan","Fraley","juan.fraley@sakilacustomer.org","469 Nakhon Sawan Street","Teboksary","Russian Federation",2011,"2005-06-17 11:56:09","3.99"
351,"Jack","Foust","jack.foust@sakilacustomer.org","1378 Beira Loop","Zeleznogorsk","Russian Federation",1792,"2005-06-16 20:04:50","5.99"
352,"Albert","Crouse","albert.crouse@sakilacustomer.org","1641 Changhwa Place","Bamenda","Cameroon",1649,"2005-06-16 09:20:33","4.99"
352,"Albert","Crouse","albert.crouse@sakilacustomer.org","1641 Changhwa Place","Bamenda","Cameroon",1678,"2005-06-16 11:08:28","4.99"
352,"Albert","Crouse","albert.crouse@sakilacustomer.org","1641 Changhwa Place","Bamenda","Cameroon",1780,"2005-06-16 19:11:45","4.99"
352,"Albert","Crouse","albert.crouse@sakilacustomer.org","1641 Changhwa Place","Bamenda","Cameroon",3331,"2005-06-21 09:37:53","4.99"
353,"Jonathan","Scarborough","jonathan.scarborough@sakilacustomer.org","1698 Southport Loop","Pachuca de Soto","Mexico",1928,"2005-06-17 06:48:31","7.99"
353,"Jonathan","Scarborough","jonathan.scarborough@sakilacustomer.org","1698 Southport Loop","Pachuca de Soto","Mexico",3233,"2005-06-21 02:39:31","6.99"
354,"Justin","Ngo","justin.ngo@sakilacustomer.org","519 Nyeri Manor","Santo Andr","Brazil",2275,"2005-06-18 06:31:29","4.99"
354,"Justin","Ngo","justin.ngo@sakilacustomer.org","519 Nyeri Manor","Santo Andr","Brazil",2769,"2005-06-19 17:52:14","6.99"
356,"Gerald","Fultz","gerald.fultz@sakilacustomer.org","45 Aparecida de Goinia Place","Satna","India",2433,"2005-06-18 18:10:17","4.99"
357,"Keith","Rico","keith.rico@sakilacustomer.org","482 Kowloon and New Kowloon Manor","Bratislava","Slovakia",1246,"2005-06-15 05:11:19","5.99"
357,"Keith","Rico","keith.rico@sakilacustomer.org","482 Kowloon and New Kowloon Manor","Bratislava","Slovakia",2153,"2005-06-17 22:58:04","6.99"
358,"Samuel","Marlow","samuel.marlow@sakilacustomer.org","604 Bern Place","Ranchi","India",2114,"2005-06-17 20:00:25","5.99"
359,"Willie","Markham","willie.markham@sakilacustomer.org","1623 Kingstown Drive","Almirante Brown","Argentina",1329,"2005-06-15 11:25:06","4.99"
359,"Willie","Markham","willie.markham@sakilacustomer.org","1623 Kingstown Drive","Almirante Brown","Argentina",2736,"2005-06-19 15:43:20","4.99"
360,"Ralph","Madrigal","ralph.madrigal@sakilacustomer.org","1009 Zanzibar Lane","Arecibo","Puerto Rico",2402,"2005-06-18 16:24:45","6.99"
360,"Ralph","Madrigal","ralph.madrigal@sakilacustomer.org","1009 Zanzibar Lane","Arecibo","Puerto Rico",2541,"2005-06-19 02:08:10","3.99"
360,"Ralph","Madrigal","ralph.madrigal@sakilacustomer.org","1009 Zanzibar Lane","Arecibo","Puerto Rico",2780,"2005-06-19 18:19:33","6.99"
